cwt_id,supply_type,average_price
10,ตึกแถว,1559281
10,ทาวน์เฮาส์/บ้านแฝด,2116826
10,ที่พักกึ่งถาวร,131037
10,บ้านเดี่ยว,2919895
10,แฟลต อาคารชุด อพาร์ตเมนต์,266609
10,ห้องแบ่งเช่า,188456
10,อื่น ๆ,0
13,ตึกแถว,124977
13,ทาวน์เฮาส์/บ้านแฝด,1191482
13,บ้านเดี่ยว,2751758
13,แฟลต อาคารชุด อพาร์ตเมนต์,91695
13,ห้องแบ่งเช่า,116667
13,อื่น ๆ,0
24,ตึกแถว,235078
24,ทาวน์เฮาส์/บ้านแฝด,2164883
24,บ้านเดี่ยว,517492
24,แฟลต อาคารชุด อพาร์ตเมนต์,0
33,ตึกแถว,1464730
33,ทาวน์เฮาส์/บ้านแฝด,798937
33,บ้านเดี่ยว,956209
33,แฟลต อาคารชุด อพาร์ตเมนต์,0
40,ตึกแถว,395440
40,ทาวน์เฮาส์/บ้านแฝด,0
40,บ้านเดี่ยว,865543
40,แฟลต อาคารชุด อพาร์ตเมนต์,35523
45,ตึกแถว,85305
45,ทาวน์เฮาส์/บ้านแฝด,1500000
45,บ้านเดี่ยว,790545
50,ตึกแถว,684463
50,ทาวน์เฮาส์/บ้านแฝด,300000
50,ที่พักกึ่งถาวร,0
50,บ้านเดี่ยว,1810761
50,แฟลต อาคารชุด อพาร์ตเมนต์,31644
83,ตึกแถว,842846
83,ทาวน์เฮาส์/บ้านแฝด,1797468
83,บ้านเดี่ยว,3428348
83,แฟลต อาคารชุด อพาร์ตเมนต์,162418
83,ห้องแบ่งเช่า,2200000
84,ตึกแถว,198944
84,ทาวน์เฮาส์/บ้านแฝด,1132055
84,บ้านเดี่ยว,937850
84,แฟลต อาคารชุด อพาร์ตเมนต์,431584
90,ตึกแถว,722963
90,ทาวน์เฮาส์/บ้านแฝด,1811960
90,ที่พักกึ่งถาวร,0
90,บ้านเดี่ยว,1077203
90,แฟลต อาคารชุด อพาร์ตเมนต์,52822
90,ห้องแบ่งเช่า,57562
95,ตึกแถว,1207362
95,ทาวน์เฮาส์/บ้านแฝด,1499049
95,บ้านเดี่ยว,1514335
95,แฟลต อาคารชุด อพาร์ตเมนต์,0
95,ห้องแบ่งเช่า,0
